02D0640755,Independent,Compliance,Laboratory Corporation Of America,"4015 Lake Otis Parkway, Suite 100",Anchorage,AK,99508,(907) 561-7666
02D0640756,Independent,Compliance,Quest Diagnostics,4120 Laurel Street,Anchorage,AK,99508-4130,(907) 561-7245
02D1037431,Independent,Accreditation,Pathology Associates Arh Laboratory,2801 Debarr Road,Anchorage,AK,99508,(907) 770-2887
02D2130734,Independent,Compliance,Interpath Laboratory Anchorage,"188 W Northern Lights Blvd, Suite 600",Anchorage,AK,99503,(907) 644-1028
02D2147419,Independent,Registration,Northwest Medical Diagnostic Laboratory LLC,"188 W Northern Lights Blvd, Suite 600",Anchorage,AK,99503,(360) 520-9512
02D0671921,Independent,Compliance,Kuparuk Medical Clinic,Koc Spine Road,Prudhoe Bay,AK,99734,(907) 659-7230
02D0969249,Independent,Compliance,Alpine Medical Clinic,Alpine Pad,Prudhoe Bay,AK,99734,(907) 670-4100
02D0641234,Independent,Compliance,Quest Diagnostics,1919 Lathrop St Suite 125,Fairbanks,AK,99701,(907) 452-1658
02D2043058,Independent,Accreditation,Cellnetix Pathology/Palmer,2490 S Woodworth Loop Suite 410,Palmer,AK,99645,(206) 576-6132
02D0959385,Independent,Accreditation,Peninsula Pathology Institute,44455 Sterling Highway,Soldotna,AK,99669,(907) 262-3557
01D1057320,Independent,Compliance,Laboratory Corporation Of America Holding,217 Dothan Road,Abbeville,AL,36310-2836,(334) 585-9848
01D0641487,Independent,Compliance,Cytopath Inc,1004 First Street North,Alabaster,AL,35007,(205) 664-9797
01D2125016,Independent,Compliance,Laboratory Corporation Of America Holdings,1022 North 1st Street  Suite 500,Alabaster,AL,35007,(205) 621-8490
01D0641706,Independent,Compliance,Labcorp Of America Holdings,1010 Christine Avenue Suite 100,Anniston,AL,36207,(256) 238-6323
01D2090345,Independent,Compliance,Northeast Alabama Pathology LLC,171 Town Center Drive Suite 1b,Anniston,AL,36205,(254) 241-5450
01D2170323,Independent,Compliance,Laboratory Corporation Of America Holdings,171 Town Center Drive  Suite 6,Anniston,AL,36207,(256) 847-2431
01D2144376,Independent,Compliance,Cytopath At Uab West,995 9th Avenue Sw,Bessemer,AL,35022,(205) 481-7185
01D0301471,Independent,Accreditation,Laboratory Corporation Of America Holding,1801 First Ave South,Birmingham,AL,35233,(205) 581-3500
01D0641549,Independent,Compliance,Uab Ob/Gyn Research And Diagnostic Laboratory,Attention  Gelnda Corley-Topham,Birmingham,AL,35233,(205) 934-5271
01C2154450,Independent,Compliance,Surfboards R US,315 W Hickory Street,Sylacauga,AL,35150,(256) 239-7614